Title,Author,Year,DOI,License,Region,Stovetype,Impact_Score,AI_Ready
Environmental factors,Margaret R. Becklake; Pierre Ernst,1997,https://doi.org/10.1016/s0140-6736(97)90030-1,,,,,
Indoor air pollution in developing countries and acute lower respiratory infections in children,Kirk R. Smith,2000,https://doi.org/10.1136/thorax.55.6.518,,,,,
"Household Air Pollution from Coal and Biomass Fuels in China: Measurements, Health Impacts, and Interventions",Junfeng Zhang; Kirk R. Smith,2007,https://doi.org/10.1289/ehp.9479,public-domain,,,,
Gas cooking appliances and indoor pollution,Ankur Chauhan,1999,https://doi.org/10.1046/j.1365-2222.1999.00648.x,,,,,
"Air pollution and development of asthma, allergy and infections in a birth cohort",Michael Bräuer; Gerard Hoek; Henriëtte A. Smit; J. C. de Jongste; Jorrit Gerritsen; D.S. Postma; Marjan Kerkhof; Bert Brunekreef,2007,https://doi.org/10.1183/09031936.00083406,,,,,
"Indoor Air Pollution, Related Human Diseases, and Recent Trends in the Control and Improvement of Indoor Air Quality",Vinh Van Tran; Duckshin Park; Young‐Chul Lee,2020,https://doi.org/10.3390/ijerph17082927,cc-by,,,,Gold Standard
Air pollution in the Asia‐Pacific Region,Crystal M. North; Mary B. Rice; Thomas W. Ferkol; David Gozal; Christopher Hui; Soon‐Hee Jung; Kozo Kuribayashi; Meredith C. McCormack; Michiaki Mishima; Yasuo Morimoto; Yuanlin Song; Kevin C. Wilson; Woo Jin Kim; Kwun M. Fong,2019,https://doi.org/10.1111/resp.13531,,,,,
The gas stove-childhood asthma kerfuffle: A teaching opportunity,Louis Anthony Cox,2023,https://doi.org/10.1016/j.gloepi.2023.100104,cc-by,,,,Gold Standard
Indoor Exposure to Selected Air Pollutants in the Home Environment: A Systematic Review,Sotiris Vardoulakis; Evanthia Giagloglou; Susanne Steinle; Alice Davis; Anne Sleeuwenhoek; Karen S. Galea; Ken Dixon; Joanne Crawford,2020,https://doi.org/10.3390/ijerph17238972,cc-by,,,,Gold Standard
Air pollution and public health: emerging hazards and improved understanding of risk,Frank Kelly; Julia C. Fussell,2015,https://doi.org/10.1007/s10653-015-9720-1,cc-by,,,,Gold Standard
Gender differences in airway behaviour over the human life span,MR Becklake; F. Kauffmann,1999,https://doi.org/10.1136/thx.54.12.1119,,,,,
Respiratory disease associated with solid biomass fuel exposure in rural women and children: systematic review and meta-analysis,June Y. T. Po; J. Mark FitzGerald; Chris Carlsten,2011,https://doi.org/10.1136/thx.2010.147884,,,,,
Health Effects of Ambient Air Pollution in Developing Countries,Pier Mannuccio Mannucci; Massimo Franchini,2017,https://doi.org/10.3390/ijerph14091048,cc-by,,,,Gold Standard
Near-highway pollutants in motor vehicle exhaust: A review of epidemiologic evidence of cardiac and pulmonary health risks,Doug Brugge; John L. Durant; Christine Rioux,2007,https://doi.org/10.1186/1476-069x-6-23,cc-by,,,,Gold Standard
Children's health and the environment: public health issues and challenges for risk assessment.,Philip J. Landrigan; Carole A. Kimmel; Adolfo Correa; Brenda Eskenazi,2003,https://doi.org/10.1289/ehp.6115,public-domain,,,,
The health effects of nonindustrial indoor air pollution,Jonathan A. Bernstein; Neil E. Alexis; Hyacinth Bacchus; Jonathan A. Bernstein; Pat Fritz; E. Horner; Ning Li; Stephany Mason; André E. Nel; John Oullette; Kari Reijula; T. Reponen; James M. Seltzer; Alisa Smith; Susan M. Tarlo,2007,https://doi.org/10.1016/j.jaci.2007.10.045,,,,,
Towards the elimination of chronic obstructive pulmonary disease: a Lancet Commission,Daiana Stolz; Takudzwa Mkorombindo; Desirée Schumann; Àlvar Agustí; Samuel Y. Ash; Mona Bafadhel; Chunxue Bai; James D. Chalmers; Gerard J. Criner; Shyamali C Dharmage; Frits M.E. Franssen; Urs Frey; MeiLan K. Han; Nadia N. Hansel; Nathaniel M. Hawkins; Ravi Kalhan; Mélanie Königshoff; Fanny W.S. Ko; Trisha M. Parekh; Pippa Powell; Maureen Rutten‐van Mölken; Jodie L. Simpson; Don D. Sin; Yuanlin Song; Bélâ Suki; Thierry Troosters; George R. Washko; Tobias Welte; Mark T. Dransfield,2022,https://doi.org/10.1016/s0140-6736(22)01273-9,other-oa,,,,
Personal exposure to nitrogen dioxide (NO2) and the severity of virus-induced asthma in children,AJ Chauhan; Hazel Inskip; Cathy Linaker; Sandra H. Smith; Jacqueline Schreiber; Sebastian L. Johnston; Stephen T. Holgate,2003,https://doi.org/10.1016/s0140-6736(03)13582-9,,,,,
Indoor air pollution in developing countries: recommendations for research<sup>†</sup>,Kirk R. Smith,2002,https://doi.org/10.1034/j.1600-0668.2002.01137.x,,,,,
"Particulate matter, air quality and climate: lessons learned and future needs",S. Fuzzi; Urs Baltensperger; K. S. Carslaw; Stefano Decesari; Hugo Denier van der Gon; M. C. Facchini; D. Fowler; Ilan Koren; B. Langford; Ulrike Lohmann; Eiko Nemitz; Spyros Ν. Pandis; Ilona Riipinen; Yinon Rudich; Martijn Schaap; Jay G. Slowik; D. V. Spracklen; E. Vignati; Martin Wild; M. L. Williams; Stefania Gilardoni,2015,https://doi.org/10.5194/acp-15-8217-2015,cc-by,,,,Gold Standard
"Asthmatic symptoms and volatile organic compounds, formaldehyde, and carbon dioxide in dwellings.",Dan Norbäck; E. Björnsson; Christer Janson; John Widström; G Boman,1995,https://doi.org/10.1136/oem.52.6.388,,,,,
Air pollution and infection in respiratory illness,Anoop Chauhan; Sebastian L. Johnston,2003,https://doi.org/10.1093/bmb/ldg022,,,,,
Association between air pollution and low birth weight: a community-based study.,X Wang; Hui Ding; Louise Ryan; Xin Xu,1997,https://doi.org/10.1289/ehp.97105514,public-domain,,,,
"Effect of Reducing Indoor Air Pollution on Women's Respiratory Symptoms and Lung Function: The RESPIRE Randomized Trial, Guatemala",Tone Smith‐Sivertsen; Esperanza Díaz; Daniel Pope; Rolv T. Lie; Anaité Díaz-Artiga; John P. McCracken; Per Bakke; Byron Arana; Kirk R. Smith; Nigel Bruce,2009,https://doi.org/10.1093/aje/kwp100,,,,,
"Polycyclic Aromatic Hydrocarbons: Sources, Toxicity, and Remediation Approaches",Avani Bharatkumar Patel; Shabnam Shaikh; Kunal Jain; Chirayu Desai; Datta Madamwar,2020,https://doi.org/10.3389/fmicb.2020.562813,cc-by,,,,Gold Standard
"Definition, epidemiology and natural history of COPD",Giovanni Viegi; Francesco Pistelli; D. L. Sherrill; Sara Maio; Sandra Baldacci; Laura Carrozzi,2007,https://doi.org/10.1183/09031936.00082507,,,,,
Global health 2035: a world converging within a generation,Dean T. Jamison; Lawrence H. Summers; George A.O. Alleyne; Kenneth J. Arrow; Seth Berkley; Agnès Binagwaho; Flavia Bustreo; David Evans; Richard Feachem; Julio Frenk; Gargee Ghosh; Sue J. Goldie; Yan Guo; Sanjeev Gupta; Richard Horton; Margaret E. Kruk; Adel A. F. Mahmoud; Linah K Mohohlo; Mthuli Ncube; Ariel Pablos-Méndez; K. Srinath Reddy; Helen Saxenian; Agnès Soucat; Karen Helene Ulltveit‐Moe; Gavin Yamey,2013,https://doi.org/10.1016/s0140-6736(13)62105-4,other-oa,,,,
Health impacts of anthropogenic biomass burning in the developed world,Torben Sigsgaard; Bertil Forsberg; Isabella Annesi‐Maesano; Anders Blomberg; Anette Kocbach Bølling; Christoffer Boman; Jakob Hjort Bønløkke; Michael Bräuer; Nigel Bruce; Marie‐Eve Héroux; Maija-Riitta Hirvonen; Frank J. Kelly; Nino Künzli; Bo Lundbäck; Hanns Moshammer; Curtis W. Noonan; Joakim Pagels; Gerd Sällsten; J.P. Sculier; Bert Brunekreef,2015,https://doi.org/10.1183/13993003.01865-2014,,,,,
Chronic obstructive pulmonary disease in China: a nationwide prevalence study,Liwen Fang; Pei Gao; Heling Bao; Xun Tang; Baohua Wang; Yajing Feng; Shu Cong; Juan Juan; Jing Fan; Ke Lu; Ning Wang; Yonghua Hu; Tianpei Hong,2018,https://doi.org/10.1016/s2213-2600(18)30103-6,,,,,
Biomass fuels are the probable risk factor for chronic obstructive pulmonary disease in rural South China,Shuo Liu; Yumin Zhou; Xinwang Wang; D. Wang; Dongdong Lin; Jinping Zheng; Nan Zhong; Pixin Ran,2007,https://doi.org/10.1136/thx.2006.061457,,,,,
Traffic-related air pollution and respiratory health during the first 2 yrs of life,Ulrike Gehring; Josef Cyrys; G. Sedlmeir; Bert Brunekreef; Tom Bellander; Paul Fischer; Carl Peter Bauer; Dirk Reinhardt; H-Erich Wichmann; Joachim Heinrich,2002,https://doi.org/10.1183/09031936.02.01182001,,,,,
Indirect health effects of relative humidity in indoor environments.,Anthony Arundel; E. Sterling; Judith H. Biggin; Theodor D. Sterling,1986,https://doi.org/10.1289/ehp.8665351,public-domain,,,,
"Maternal smoking during pregnancy, environmental tobacco smoke exposure and childhood lung function",Frank D. Gilliland,2000,https://doi.org/10.1136/thorax.55.4.271,,,,,
Epithelial barrier hypothesis: Effect of the external exposome on the microbiome and epithelial barriers in allergic disease,Zeynep Çelebi Sözener; Betül Özdel Öztürk; Pamir Çerçi; Murat Türk; Begüm Görgülü Akın; Mübeccel Akdiş; Seda Altıner; Ümüş Özbey Yücel; İsmail Öğülür; Yasutaka Mitamura; İnsu Yılmaz; Kari C. Nadeau; Cevdet Özdemir; Dilşad Mungan; Cezmi A. Akdiş,2022,https://doi.org/10.1111/all.15240,other-oa,,,,
